ID,Year,Province,Cities,City_ID,Violation,Violation_ID,Statistics,Crime_rate,location_year
1048,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.03,2016_Ottawa-Gatineau
1049,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.34,2017_Ottawa-Gatineau
1050,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.72,2018_Ottawa-Gatineau
1051,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",0.8,2019_Ottawa-Gatineau
1052,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.02,2020_Ottawa-Gatineau
1053,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.81,2021_Ottawa-Gatineau
1054,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.55,2022_Ottawa-Gatineau
1055,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.51,2023_Ottawa-Gatineau
1067,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.75,2013_Ottawa-Gatineau
1068,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",0.87,2014_Ottawa-Gatineau
1069,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.53,2015_Ottawa-Gatineau
1070,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.11,2016_Ottawa-Gatineau
1071,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.45,2017_Ottawa-Gatineau
1072,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.78,2018_Ottawa-Gatineau
1073,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",0.87,2019_Ottawa-Gatineau
1074,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",0.6,2020_Ottawa-Gatineau
1075,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.88,2021_Ottawa-Gatineau
1076,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.61,2022_Ottawa-Gatineau
1077,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.48,2023_Ottawa-Gatineau
1089,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2013_Ottawa-Gatineau
1090,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2014_Ottawa-Gatineau
1091,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",1.13,2015_Ottawa-Gatineau
1092,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2016_Ottawa-Gatineau
1093,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2017_Ottawa-Gatineau
1094,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",1.06,2018_Ottawa-Gatineau
1095,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2019_Ottawa-Gatineau
1096,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",6.01,2020_Ottawa-Gatineau
1097,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.95,2021_Ottawa-Gatineau
1098,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.93,2022_Ottawa-Gatineau
1099,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",1.81,2023_Ottawa-Gatineau
1111,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2013_Ottawa-Gatineau
1112,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2014_Ottawa-Gatineau
1113,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2015_Ottawa-Gatineau
1114,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2016_Ottawa-Gatineau
1115,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2017_Ottawa-Gatineau
1116,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2018_Ottawa-Gatineau
1117,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2019_Ottawa-Gatineau
1118,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2020_Ottawa-Gatineau
1119,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2021_Ottawa-Gatineau
1120,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2022_Ottawa-Gatineau
1121,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2023_Ottawa-Gatineau
1133,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",,2013_Ottawa-Gatineau
1134,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",,2014_Ottawa-Gatineau
1135,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",,2015_Ottawa-Gatineau
1136,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",,2016_Ottawa-Gatineau
1137,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",,2017_Ottawa-Gatineau
1138,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",2.06,2018_Ottawa-Gatineau
1139,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",1.53,2019_Ottawa-Gatineau
1140,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",0.82,2020_Ottawa-Gatineau
1141,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",0.52,2021_Ottawa-Gatineau
1142,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",0.71,2022_Ottawa-Gatineau
1143,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",1.0,2023_Ottawa-Gatineau
1232,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",,2013_Ottawa-Gatineau
1233,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",,2014_Ottawa-Gatineau
1234,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",,2015_Ottawa-Gatineau
1235,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",,2016_Ottawa-Gatineau
1236,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",,2017_Ottawa-Gatineau
1237,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",1.48,2018_Ottawa-Gatineau
1238,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",0.48,2019_Ottawa-Gatineau
1239,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",0.24,2020_Ottawa-Gatineau
1240,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",0.3,2021_Ottawa-Gatineau
1241,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",0.37,2022_Ottawa-Gatineau
1242,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",0.43,2023_Ottawa-Gatineau
1254,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",,2013_Ottawa-Gatineau
1255,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",,2014_Ottawa-Gatineau
1256,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",,2015_Ottawa-Gatineau
1257,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",,2016_Ottawa-Gatineau
1258,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",,2017_Ottawa-Gatineau
1259,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",1.42,2018_Ottawa-Gatineau
1260,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",0.35,2019_Ottawa-Gatineau
1261,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",0.26,2020_Ottawa-Gatineau
1262,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",0.33,2021_Ottawa-Gatineau
1263,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",0.32,2022_Ottawa-Gatineau
1264,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",0.39,2023_Ottawa-Gatineau
1276,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",,2013_Ottawa-Gatineau
1277,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",,2014_Ottawa-Gatineau
1278,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",,2015_Ottawa-Gatineau
1279,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",,2016_Ottawa-Gatineau
1280,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",,2017_Ottawa-Gatineau
1281,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",2.12,2018_Ottawa-Gatineau
1282,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",2.06,2019_Ottawa-Gatineau
1283,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2020_Ottawa-Gatineau
1284,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2021_Ottawa-Gatineau
1285,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.93,2022_Ottawa-Gatineau
