Motivation_ID,REF_DATE,Type of motivation,VALUE
111,2020,Race or ethnicity,702.0
112,2021,Race or ethnicity,843.0
113,2022,Race or ethnicity,1031.0
114,2023,Race or ethnicity,948.0
115,2014,Religion,246.0
116,2015,Religion,224.0
117,2016,Religion,242.0
118,2017,Religion,437.0
119,2018,Religion,326.0
120,2019,Religion,312.0
121,2020,Religion,297.0
122,2021,Religion,455.0
123,2022,Religion,499.0
124,2023,Religion,780.0
125,2014,Sexual orientation,70.0
126,2015,Sexual orientation,69.0
127,2016,Sexual orientation,76.0
128,2017,Sexual orientation,114.0
129,2018,Sexual orientation,83.0
130,2019,Sexual orientation,119.0
131,2020,Sexual orientation,112.0
132,2021,Sexual orientation,242.0
133,2022,Sexual orientation,286.0
134,2023,Sexual orientation,446.0
135,2014,Language,0.0
136,2015,Language,0.0
137,2016,Language,0.0
138,2017,Language,0.0
139,2018,Language,0.0
140,2019,Language,0.0
141,2020,Language,0.0
142,2021,Language,0.0
143,2022,Language,0.0
144,2023,Language,0.0
145,2014,Mental or Physical Disability,0.0
146,2015,Mental or Physical Disability,0.0
147,2016,Mental or Physical Disability,0.0
148,2017,Mental or Physical Disability,0.0
149,2018,Mental or Physical Disability,0.0
150,2019,Mental or Physical Disability,0.0
151,2020,Mental or Physical Disability,0.0
152,2021,Mental or Physical Disability,0.0
153,2022,Mental or Physical Disability,0.0
154,2023,Mental or Physical Disability,0.0
155,2014,Sex and gender,0.0
156,2015,Sex and gender,0.0
157,2016,Sex and gender,0.0
158,2017,Sex and gender,0.0
159,2018,Sex and gender,0.0
160,2019,Sex and gender,0.0
161,2020,Sex and gender,0.0
162,2021,Sex and gender,0.0
163,2022,Sex and gender,0.0
164,2023,Sex and gender,0.0
165,2014,Age,0.0
166,2015,Age,0.0
167,2016,Age,0.0
168,2017,Age,0.0
169,2018,Age,0.0
170,2019,Age,0.0
171,2020,Age,0.0
172,2021,Age,0.0
173,2022,Age,0.0
174,2023,Age,0.0
175,2021,Immigrants / Newcomers to Canada,0.0
176,2022,Immigrants / Newcomers to Canada,0.0
177,2023,Immigrants / Newcomers to Canada,0.0
178,2014,Other similar factor,0.0
179,2015,Other similar factor,0.0
180,2016,Other similar factor,0.0
181,2017,Other similar factor,0.0
182,2018,Other similar factor,0.0
183,2019,Other similar factor,0.0
184,2020,Other similar factor,0.0
185,2021,Other similar factor,0.0
186,2022,Other similar factor,0.0
187,2023,Other similar factor,0.0
188,2021,Combination (More than 2 motivations),0.0
189,2022,Combination (More than 2 motivations),0.0
190,2023,Combination (More than 2 motivations),0.0
191,2014,Unknown motivation,0.0
192,2015,Unknown motivation,0.0
193,2016,Unknown motivation,0.0
194,2017,Unknown motivation,0.0
195,2018,Unknown motivation,0.0
196,2019,Unknown motivation,0.0
197,2020,Unknown motivation,0.0
198,2021,Unknown motivation,0.0
199,2022,Unknown motivation,0.0
200,2023,Unknown motivation,0.0
