,Year,Province,Cities
666,2019, Ontario/Quebec ,Ottawa-Gatineau
667,2020, Ontario/Quebec ,Ottawa-Gatineau
668,2021, Ontario/Quebec ,Ottawa-Gatineau
669,2022, Ontario/Quebec ,Ottawa-Gatineau
670,2023, Ontario/Quebec ,Ottawa-Gatineau
682,2013, Ontario/Quebec ,Ottawa-Gatineau
683,2014, Ontario/Quebec ,Ottawa-Gatineau
684,2015, Ontario/Quebec ,Ottawa-Gatineau
685,2016, Ontario/Quebec ,Ottawa-Gatineau
686,2017, Ontario/Quebec ,Ottawa-Gatineau
687,2018, Ontario/Quebec ,Ottawa-Gatineau
688,2019, Ontario/Quebec ,Ottawa-Gatineau
689,2020, Ontario/Quebec ,Ottawa-Gatineau
690,2021, Ontario/Quebec ,Ottawa-Gatineau
691,2022, Ontario/Quebec ,Ottawa-Gatineau
692,2023, Ontario/Quebec ,Ottawa-Gatineau
704,2013, Ontario/Quebec ,Ottawa-Gatineau
705,2014, Ontario/Quebec ,Ottawa-Gatineau
706,2015, Ontario/Quebec ,Ottawa-Gatineau
707,2016, Ontario/Quebec ,Ottawa-Gatineau
708,2017, Ontario/Quebec ,Ottawa-Gatineau
709,2018, Ontario/Quebec ,Ottawa-Gatineau
710,2019, Ontario/Quebec ,Ottawa-Gatineau
711,2020, Ontario/Quebec ,Ottawa-Gatineau
712,2021, Ontario/Quebec ,Ottawa-Gatineau
713,2022, Ontario/Quebec ,Ottawa-Gatineau
714,2023, Ontario/Quebec ,Ottawa-Gatineau
726,2013, Ontario/Quebec ,Ottawa-Gatineau
727,2014, Ontario/Quebec ,Ottawa-Gatineau
728,2015, Ontario/Quebec ,Ottawa-Gatineau
729,2016, Ontario/Quebec ,Ottawa-Gatineau
730,2017, Ontario/Quebec ,Ottawa-Gatineau
731,2018, Ontario/Quebec ,Ottawa-Gatineau
732,2019, Ontario/Quebec ,Ottawa-Gatineau
733,2020, Ontario/Quebec ,Ottawa-Gatineau
734,2021, Ontario/Quebec ,Ottawa-Gatineau
735,2022, Ontario/Quebec ,Ottawa-Gatineau
736,2023, Ontario/Quebec ,Ottawa-Gatineau
935,2013, Ontario/Quebec ,Ottawa-Gatineau
936,2014, Ontario/Quebec ,Ottawa-Gatineau
937,2015, Ontario/Quebec ,Ottawa-Gatineau
938,2016, Ontario/Quebec ,Ottawa-Gatineau
939,2017, Ontario/Quebec ,Ottawa-Gatineau
940,2018, Ontario/Quebec ,Ottawa-Gatineau
941,2019, Ontario/Quebec ,Ottawa-Gatineau
942,2020, Ontario/Quebec ,Ottawa-Gatineau
943,2021, Ontario/Quebec ,Ottawa-Gatineau
944,2022, Ontario/Quebec ,Ottawa-Gatineau
945,2023, Ontario/Quebec ,Ottawa-Gatineau
979,2013, Ontario/Quebec ,Ottawa-Gatineau
980,2014, Ontario/Quebec ,Ottawa-Gatineau
981,2015, Ontario/Quebec ,Ottawa-Gatineau
982,2016, Ontario/Quebec ,Ottawa-Gatineau
983,2017, Ontario/Quebec ,Ottawa-Gatineau
984,2018, Ontario/Quebec ,Ottawa-Gatineau
985,2019, Ontario/Quebec ,Ottawa-Gatineau
986,2020, Ontario/Quebec ,Ottawa-Gatineau
987,2021, Ontario/Quebec ,Ottawa-Gatineau
988,2022, Ontario/Quebec ,Ottawa-Gatineau
989,2023, Ontario/Quebec ,Ottawa-Gatineau
1001,2013, Ontario/Quebec ,Ottawa-Gatineau
1002,2014, Ontario/Quebec ,Ottawa-Gatineau
1003,2015, Ontario/Quebec ,Ottawa-Gatineau
1004,2016, Ontario/Quebec ,Ottawa-Gatineau
1005,2017, Ontario/Quebec ,Ottawa-Gatineau
1006,2018, Ontario/Quebec ,Ottawa-Gatineau
1007,2019, Ontario/Quebec ,Ottawa-Gatineau
1008,2020, Ontario/Quebec ,Ottawa-Gatineau
1009,2021, Ontario/Quebec ,Ottawa-Gatineau
1010,2022, Ontario/Quebec ,Ottawa-Gatineau
1011,2023, Ontario/Quebec ,Ottawa-Gatineau
1012,2013, Ontario/Quebec ,Ottawa-Gatineau
1013,2014, Ontario/Quebec ,Ottawa-Gatineau
1014,2015, Ontario/Quebec ,Ottawa-Gatineau
1015,2016, Ontario/Quebec ,Ottawa-Gatineau
1016,2017, Ontario/Quebec ,Ottawa-Gatineau
1017,2018, Ontario/Quebec ,Ottawa-Gatineau
1018,2019, Ontario/Quebec ,Ottawa-Gatineau
1019,2020, Ontario/Quebec ,Ottawa-Gatineau
1020,2021, Ontario/Quebec ,Ottawa-Gatineau
1021,2022, Ontario/Quebec ,Ottawa-Gatineau
1022,2023, Ontario/Quebec ,Ottawa-Gatineau
1023,2013, Ontario/Quebec ,Ottawa-Gatineau
1024,2014, Ontario/Quebec ,Ottawa-Gatineau
1025,2015, Ontario/Quebec ,Ottawa-Gatineau
1026,2016, Ontario/Quebec ,Ottawa-Gatineau
1027,2017, Ontario/Quebec ,Ottawa-Gatineau
1028,2018, Ontario/Quebec ,Ottawa-Gatineau
1029,2019, Ontario/Quebec ,Ottawa-Gatineau
1030,2020, Ontario/Quebec ,Ottawa-Gatineau
1031,2021, Ontario/Quebec ,Ottawa-Gatineau
1032,2022, Ontario/Quebec ,Ottawa-Gatineau
1033,2023, Ontario/Quebec ,Ottawa-Gatineau
1034,2013, Ontario/Quebec ,Ottawa-Gatineau
1035,2014, Ontario/Quebec ,Ottawa-Gatineau
1036,2015, Ontario/Quebec ,Ottawa-Gatineau
1037,2016, Ontario/Quebec ,Ottawa-Gatineau
1038,2017, Ontario/Quebec ,Ottawa-Gatineau
1039,2018, Ontario/Quebec ,Ottawa-Gatineau
1040,2019, Ontario/Quebec ,Ottawa-Gatineau
1041,2020, Ontario/Quebec ,Ottawa-Gatineau
1042,2021, Ontario/Quebec ,Ottawa-Gatineau
1043,2022, Ontario/Quebec ,Ottawa-Gatineau
1044,2023, Ontario/Quebec ,Ottawa-Gatineau
1056,2013, Ontario/Quebec ,Ottawa-Gatineau
1057,2014, Ontario/Quebec ,Ottawa-Gatineau
1058,2015, Ontario/Quebec ,Ottawa-Gatineau
1059,2016, Ontario/Quebec ,Ottawa-Gatineau
1060,2017, Ontario/Quebec ,Ottawa-Gatineau
1061,2018, Ontario/Quebec ,Ottawa-Gatineau
1062,2019, Ontario/Quebec ,Ottawa-Gatineau
1063,2020, Ontario/Quebec ,Ottawa-Gatineau
1064,2021, Ontario/Quebec ,Ottawa-Gatineau
1065,2022, Ontario/Quebec ,Ottawa-Gatineau
1066,2023, Ontario/Quebec ,Ottawa-Gatineau
1078,2013, Ontario/Quebec ,Ottawa-Gatineau
1079,2014, Ontario/Quebec ,Ottawa-Gatineau
1080,2015, Ontario/Quebec ,Ottawa-Gatineau
1081,2016, Ontario/Quebec ,Ottawa-Gatineau
1082,2017, Ontario/Quebec ,Ottawa-Gatineau
1083,2018, Ontario/Quebec ,Ottawa-Gatineau
1084,2019, Ontario/Quebec ,Ottawa-Gatineau
1085,2020, Ontario/Quebec ,Ottawa-Gatineau
1086,2021, Ontario/Quebec ,Ottawa-Gatineau
1087,2022, Ontario/Quebec ,Ottawa-Gatineau
1088,2023, Ontario/Quebec ,Ottawa-Gatineau
1100,2013, Ontario/Quebec ,Ottawa-Gatineau
1101,2014, Ontario/Quebec ,Ottawa-Gatineau
1102,2015, Ontario/Quebec ,Ottawa-Gatineau
1103,2016, Ontario/Quebec ,Ottawa-Gatineau
1104,2017, Ontario/Quebec ,Ottawa-Gatineau
1105,2018, Ontario/Quebec ,Ottawa-Gatineau
1106,2019, Ontario/Quebec ,Ottawa-Gatineau
1107,2020, Ontario/Quebec ,Ottawa-Gatineau
1108,2021, Ontario/Quebec ,Ottawa-Gatineau
1109,2022, Ontario/Quebec ,Ottawa-Gatineau
1110,2023, Ontario/Quebec ,Ottawa-Gatineau
1122,2013, Ontario/Quebec ,Ottawa-Gatineau
1123,2014, Ontario/Quebec ,Ottawa-Gatineau
1124,2015, Ontario/Quebec ,Ottawa-Gatineau
1125,2016, Ontario/Quebec ,Ottawa-Gatineau
1126,2017, Ontario/Quebec ,Ottawa-Gatineau
1127,2018, Ontario/Quebec ,Ottawa-Gatineau
1128,2019, Ontario/Quebec ,Ottawa-Gatineau
1129,2020, Ontario/Quebec ,Ottawa-Gatineau
1130,2021, Ontario/Quebec ,Ottawa-Gatineau
1131,2022, Ontario/Quebec ,Ottawa-Gatineau
1132,2023, Ontario/Quebec ,Ottawa-Gatineau
1166,2013, Ontario/Quebec ,Ottawa-Gatineau
1167,2014, Ontario/Quebec ,Ottawa-Gatineau
1168,2015, Ontario/Quebec ,Ottawa-Gatineau
1169,2016, Ontario/Quebec ,Ottawa-Gatineau
1170,2017, Ontario/Quebec ,Ottawa-Gatineau
1171,2018, Ontario/Quebec ,Ottawa-Gatineau
1172,2019, Ontario/Quebec ,Ottawa-Gatineau
1173,2020, Ontario/Quebec ,Ottawa-Gatineau
1174,2021, Ontario/Quebec ,Ottawa-Gatineau
1175,2022, Ontario/Quebec ,Ottawa-Gatineau
1176,2023, Ontario/Quebec ,Ottawa-Gatineau
1188,2013, Ontario/Quebec ,Ottawa-Gatineau
1189,2014, Ontario/Quebec ,Ottawa-Gatineau
1190,2015, Ontario/Quebec ,Ottawa-Gatineau
1191,2016, Ontario/Quebec ,Ottawa-Gatineau
1192,2017, Ontario/Quebec ,Ottawa-Gatineau
1193,2018, Ontario/Quebec ,Ottawa-Gatineau
1194,2019, Ontario/Quebec ,Ottawa-Gatineau
1195,2020, Ontario/Quebec ,Ottawa-Gatineau
1196,2021, Ontario/Quebec ,Ottawa-Gatineau
1197,2022, Ontario/Quebec ,Ottawa-Gatineau
1198,2023, Ontario/Quebec ,Ottawa-Gatineau
1199,2013, Ontario/Quebec ,Ottawa-Gatineau
1200,2014, Ontario/Quebec ,Ottawa-Gatineau
1201,2015, Ontario/Quebec ,Ottawa-Gatineau
1202,2016, Ontario/Quebec ,Ottawa-Gatineau
1203,2017, Ontario/Quebec ,Ottawa-Gatineau
1204,2018, Ontario/Quebec ,Ottawa-Gatineau
1205,2019, Ontario/Quebec ,Ottawa-Gatineau
1206,2020, Ontario/Quebec ,Ottawa-Gatineau
1207,2021, Ontario/Quebec ,Ottawa-Gatineau
1208,2022, Ontario/Quebec ,Ottawa-Gatineau
1209,2023, Ontario/Quebec ,Ottawa-Gatineau
1210,2013, Ontario/Quebec ,Ottawa-Gatineau
1211,2014, Ontario/Quebec ,Ottawa-Gatineau
1212,2015, Ontario/Quebec ,Ottawa-Gatineau
1213,2016, Ontario/Quebec ,Ottawa-Gatineau
1214,2017, Ontario/Quebec ,Ottawa-Gatineau
1215,2018, Ontario/Quebec ,Ottawa-Gatineau
1216,2019, Ontario/Quebec ,Ottawa-Gatineau
1217,2020, Ontario/Quebec ,Ottawa-Gatineau
1218,2021, Ontario/Quebec ,Ottawa-Gatineau
1219,2022, Ontario/Quebec ,Ottawa-Gatineau
1220,2023, Ontario/Quebec ,Ottawa-Gatineau
1221,2013, Ontario/Quebec ,Ottawa-Gatineau
1222,2014, Ontario/Quebec ,Ottawa-Gatineau
1223,2015, Ontario/Quebec ,Ottawa-Gatineau
1224,2016, Ontario/Quebec ,Ottawa-Gatineau
1225,2017, Ontario/Quebec ,Ottawa-Gatineau
1226,2018, Ontario/Quebec ,Ottawa-Gatineau
1227,2019, Ontario/Quebec ,Ottawa-Gatineau
1228,2020, Ontario/Quebec ,Ottawa-Gatineau
1229,2021, Ontario/Quebec ,Ottawa-Gatineau
1230,2022, Ontario/Quebec ,Ottawa-Gatineau
1231,2023, Ontario/Quebec ,Ottawa-Gatineau
1243,2013, Ontario/Quebec ,Ottawa-Gatineau
1244,2014, Ontario/Quebec ,Ottawa-Gatineau
1245,2015, Ontario/Quebec ,Ottawa-Gatineau
1246,2016, Ontario/Quebec ,Ottawa-Gatineau
1247,2017, Ontario/Quebec ,Ottawa-Gatineau
1248,2018, Ontario/Quebec ,Ottawa-Gatineau
1249,2019, Ontario/Quebec ,Ottawa-Gatineau
1250,2020, Ontario/Quebec ,Ottawa-Gatineau
1251,2021, Ontario/Quebec ,Ottawa-Gatineau
1252,2022, Ontario/Quebec ,Ottawa-Gatineau
1253,2023, Ontario/Quebec ,Ottawa-Gatineau
1265,2013, Ontario/Quebec ,Ottawa-Gatineau
1266,2014, Ontario/Quebec ,Ottawa-Gatineau
1267,2015, Ontario/Quebec ,Ottawa-Gatineau
1268,2016, Ontario/Quebec ,Ottawa-Gatineau
1269,2017, Ontario/Quebec ,Ottawa-Gatineau
1270,2018, Ontario/Quebec ,Ottawa-Gatineau
1271,2019, Ontario/Quebec ,Ottawa-Gatineau
1272,2020, Ontario/Quebec ,Ottawa-Gatineau
1273,2021, Ontario/Quebec ,Ottawa-Gatineau
1274,2022, Ontario/Quebec ,Ottawa-Gatineau
1275,2023, Ontario/Quebec ,Ottawa-Gatineau
1287,2013, Ontario/Quebec ,Ottawa-Gatineau
1288,2014, Ontario/Quebec ,Ottawa-Gatineau
1289,2015, Ontario/Quebec ,Ottawa-Gatineau
1290,2016, Ontario/Quebec ,Ottawa-Gatineau
1291,2017, Ontario/Quebec ,Ottawa-Gatineau
1292,2018, Ontario/Quebec ,Ottawa-Gatineau
1293,2019, Ontario/Quebec ,Ottawa-Gatineau
1294,2020, Ontario/Quebec ,Ottawa-Gatineau
1295,2021, Ontario/Quebec ,Ottawa-Gatineau
1296,2022, Ontario/Quebec ,Ottawa-Gatineau
1297,2023, Ontario/Quebec ,Ottawa-Gatineau
1309,2013, Ontario/Quebec ,Ottawa-Gatineau
1310,2014, Ontario/Quebec ,Ottawa-Gatineau
1311,2015, Ontario/Quebec ,Ottawa-Gatineau
1312,2016, Ontario/Quebec ,Ottawa-Gatineau
1313,2017, Ontario/Quebec ,Ottawa-Gatineau
1314,2018, Ontario/Quebec ,Ottawa-Gatineau
1315,2019, Ontario/Quebec ,Ottawa-Gatineau
1316,2020, Ontario/Quebec ,Ottawa-Gatineau
1317,2021, Ontario/Quebec ,Ottawa-Gatineau
1318,2022, Ontario/Quebec ,Ottawa-Gatineau
1319,2023, Ontario/Quebec ,Ottawa-Gatineau
1353,2013, Ontario/Quebec ,Ottawa-Gatineau
1354,2014, Ontario/Quebec ,Ottawa-Gatineau
1355,2015, Ontario/Quebec ,Ottawa-Gatineau
1356,2016, Ontario/Quebec ,Ottawa-Gatineau
1357,2017, Ontario/Quebec ,Ottawa-Gatineau
1358,2018, Ontario/Quebec ,Ottawa-Gatineau
1359,2019, Ontario/Quebec ,Ottawa-Gatineau
1360,2020, Ontario/Quebec ,Ottawa-Gatineau
1361,2021, Ontario/Quebec ,Ottawa-Gatineau
1362,2022, Ontario/Quebec ,Ottawa-Gatineau
1363,2023, Ontario/Quebec ,Ottawa-Gatineau
1375,2013, Ontario/Quebec ,Ottawa-Gatineau
1376,2014, Ontario/Quebec ,Ottawa-Gatineau
1377,2015, Ontario/Quebec ,Ottawa-Gatineau
1378,2016, Ontario/Quebec ,Ottawa-Gatineau
1379,2017, Ontario/Quebec ,Ottawa-Gatineau
1380,2018, Ontario/Quebec ,Ottawa-Gatineau
1381,2019, Ontario/Quebec ,Ottawa-Gatineau
1382,2020, Ontario/Quebec ,Ottawa-Gatineau
1383,2021, Ontario/Quebec ,Ottawa-Gatineau
1384,2022, Ontario/Quebec ,Ottawa-Gatineau
1385,2023, Ontario/Quebec ,Ottawa-Gatineau
1386,2013, Ontario/Quebec ,Ottawa-Gatineau
1387,2014, Ontario/Quebec ,Ottawa-Gatineau
1388,2015, Ontario/Quebec ,Ottawa-Gatineau
1389,2016, Ontario/Quebec ,Ottawa-Gatineau
1390,2017, Ontario/Quebec ,Ottawa-Gatineau
1391,2018, Ontario/Quebec ,Ottawa-Gatineau
1392,2019, Ontario/Quebec ,Ottawa-Gatineau
1393,2020, Ontario/Quebec ,Ottawa-Gatineau
1394,2021, Ontario/Quebec ,Ottawa-Gatineau
1395,2022, Ontario/Quebec ,Ottawa-Gatineau
1396,2023, Ontario/Quebec ,Ottawa-Gatineau
1397,2013, Ontario/Quebec ,Ottawa-Gatineau
1398,2014, Ontario/Quebec ,Ottawa-Gatineau
1399,2015, Ontario/Quebec ,Ottawa-Gatineau
1400,2016, Ontario/Quebec ,Ottawa-Gatineau
1401,2017, Ontario/Quebec ,Ottawa-Gatineau
1402,2018, Ontario/Quebec ,Ottawa-Gatineau
1403,2019, Ontario/Quebec ,Ottawa-Gatineau
1404,2020, Ontario/Quebec ,Ottawa-Gatineau
1405,2021, Ontario/Quebec ,Ottawa-Gatineau
1406,2022, Ontario/Quebec ,Ottawa-Gatineau
1407,2023, Ontario/Quebec ,Ottawa-Gatineau
1408,2013, Ontario/Quebec ,Ottawa-Gatineau
1409,2014, Ontario/Quebec ,Ottawa-Gatineau
1410,2015, Ontario/Quebec ,Ottawa-Gatineau
1411,2016, Ontario/Quebec ,Ottawa-Gatineau
1412,2017, Ontario/Quebec ,Ottawa-Gatineau
1413,2018, Ontario/Quebec ,Ottawa-Gatineau
1414,2019, Ontario/Quebec ,Ottawa-Gatineau
1415,2020, Ontario/Quebec ,Ottawa-Gatineau
1416,2021, Ontario/Quebec ,Ottawa-Gatineau
1417,2022, Ontario/Quebec ,Ottawa-Gatineau
1418,2023, Ontario/Quebec ,Ottawa-Gatineau
1430,2013, Ontario/Quebec ,Ottawa-Gatineau
1431,2014, Ontario/Quebec ,Ottawa-Gatineau
1432,2015, Ontario/Quebec ,Ottawa-Gatineau
1433,2016, Ontario/Quebec ,Ottawa-Gatineau
1434,2017, Ontario/Quebec ,Ottawa-Gatineau
1435,2018, Ontario/Quebec ,Ottawa-Gatineau
1436,2019, Ontario/Quebec ,Ottawa-Gatineau
1437,2020, Ontario/Quebec ,Ottawa-Gatineau
1438,2021, Ontario/Quebec ,Ottawa-Gatineau
1439,2022, Ontario/Quebec ,Ottawa-Gatineau
1440,2023, Ontario/Quebec ,Ottawa-Gatineau
1452,2013, Ontario/Quebec ,Ottawa-Gatineau
1453,2014, Ontario/Quebec ,Ottawa-Gatineau
1454,2015, Ontario/Quebec ,Ottawa-Gatineau
1455,2016, Ontario/Quebec ,Ottawa-Gatineau
1456,2017, Ontario/Quebec ,Ottawa-Gatineau
1457,2018, Ontario/Quebec ,Ottawa-Gatineau
1458,2019, Ontario/Quebec ,Ottawa-Gatineau
1459,2020, Ontario/Quebec ,Ottawa-Gatineau
1460,2021, Ontario/Quebec ,Ottawa-Gatineau
1461,2022, Ontario/Quebec ,Ottawa-Gatineau
1462,2023, Ontario/Quebec ,Ottawa-Gatineau
1474,2013, Ontario/Quebec ,Ottawa-Gatineau
1475,2014, Ontario/Quebec ,Ottawa-Gatineau
1476,2015, Ontario/Quebec ,Ottawa-Gatineau
1477,2016, Ontario/Quebec ,Ottawa-Gatineau
1478,2017, Ontario/Quebec ,Ottawa-Gatineau
1479,2018, Ontario/Quebec ,Ottawa-Gatineau
1480,2019, Ontario/Quebec ,Ottawa-Gatineau
1481,2020, Ontario/Quebec ,Ottawa-Gatineau
1482,2021, Ontario/Quebec ,Ottawa-Gatineau
1483,2022, Ontario/Quebec ,Ottawa-Gatineau
1484,2023, Ontario/Quebec ,Ottawa-Gatineau
1496,2013, Ontario/Quebec ,Ottawa-Gatineau
1497,2014, Ontario/Quebec ,Ottawa-Gatineau
1498,2015, Ontario/Quebec ,Ottawa-Gatineau
1499,2016, Ontario/Quebec ,Ottawa-Gatineau
1500,2017, Ontario/Quebec ,Ottawa-Gatineau
1501,2018, Ontario/Quebec ,Ottawa-Gatineau
1502,2019, Ontario/Quebec ,Ottawa-Gatineau
1503,2020, Ontario/Quebec ,Ottawa-Gatineau
1504,2021, Ontario/Quebec ,Ottawa-Gatineau
1505,2022, Ontario/Quebec ,Ottawa-Gatineau
1506,2023, Ontario/Quebec ,Ottawa-Gatineau
1540,2013, Ontario/Quebec ,Ottawa-Gatineau
1541,2014, Ontario/Quebec ,Ottawa-Gatineau
1542,2015, Ontario/Quebec ,Ottawa-Gatineau
1543,2016, Ontario/Quebec ,Ottawa-Gatineau
1544,2017, Ontario/Quebec ,Ottawa-Gatineau
1545,2018, Ontario/Quebec ,Ottawa-Gatineau
1546,2019, Ontario/Quebec ,Ottawa-Gatineau
1547,2020, Ontario/Quebec ,Ottawa-Gatineau
1548,2021, Ontario/Quebec ,Ottawa-Gatineau
1549,2022, Ontario/Quebec ,Ottawa-Gatineau
1550,2023, Ontario/Quebec ,Ottawa-Gatineau
1562,2013, Ontario/Quebec ,Ottawa-Gatineau
1563,2014, Ontario/Quebec ,Ottawa-Gatineau
1564,2015, Ontario/Quebec ,Ottawa-Gatineau
1565,2016, Ontario/Quebec ,Ottawa-Gatineau
1566,2017, Ontario/Quebec ,Ottawa-Gatineau
1567,2018, Ontario/Quebec ,Ottawa-Gatineau
1568,2019, Ontario/Quebec ,Ottawa-Gatineau
1569,2020, Ontario/Quebec ,Ottawa-Gatineau
1570,2021, Ontario/Quebec ,Ottawa-Gatineau
1571,2022, Ontario/Quebec ,Ottawa-Gatineau
1572,2023, Ontario/Quebec ,Ottawa-Gatineau
1573,2013, Ontario/Quebec ,Ottawa-Gatineau
1574,2014, Ontario/Quebec ,Ottawa-Gatineau
1575,2015, Ontario/Quebec ,Ottawa-Gatineau
1576,2016, Ontario/Quebec ,Ottawa-Gatineau
1577,2017, Ontario/Quebec ,Ottawa-Gatineau
1578,2018, Ontario/Quebec ,Ottawa-Gatineau
1579,2019, Ontario/Quebec ,Ottawa-Gatineau
1580,2020, Ontario/Quebec ,Ottawa-Gatineau
1581,2021, Ontario/Quebec ,Ottawa-Gatineau
1582,2022, Ontario/Quebec ,Ottawa-Gatineau
1583,2023, Ontario/Quebec ,Ottawa-Gatineau
1584,2013, Ontario/Quebec ,Ottawa-Gatineau
1585,2014, Ontario/Quebec ,Ottawa-Gatineau
1586,2015, Ontario/Quebec ,Ottawa-Gatineau
1587,2016, Ontario/Quebec ,Ottawa-Gatineau
1588,2017, Ontario/Quebec ,Ottawa-Gatineau
1589,2018, Ontario/Quebec ,Ottawa-Gatineau
1590,2019, Ontario/Quebec ,Ottawa-Gatineau
1591,2020, Ontario/Quebec ,Ottawa-Gatineau
1592,2021, Ontario/Quebec ,Ottawa-Gatineau
1593,2022, Ontario/Quebec ,Ottawa-Gatineau
1594,2023, Ontario/Quebec ,Ottawa-Gatineau
1595,2013, Ontario/Quebec ,Ottawa-Gatineau
1596,2014, Ontario/Quebec ,Ottawa-Gatineau
1597,2015, Ontario/Quebec ,Ottawa-Gatineau
1598,2016, Ontario/Quebec ,Ottawa-Gatineau
1599,2017, Ontario/Quebec ,Ottawa-Gatineau
1600,2018, Ontario/Quebec ,Ottawa-Gatineau
1601,2019, Ontario/Quebec ,Ottawa-Gatineau
1602,2020, Ontario/Quebec ,Ottawa-Gatineau
1603,2021, Ontario/Quebec ,Ottawa-Gatineau
1604,2022, Ontario/Quebec ,Ottawa-Gatineau
1605,2023, Ontario/Quebec ,Ottawa-Gatineau
1617,2013, Ontario/Quebec ,Ottawa-Gatineau
1618,2014, Ontario/Quebec ,Ottawa-Gatineau
1619,2015, Ontario/Quebec ,Ottawa-Gatineau
1620,2016, Ontario/Quebec ,Ottawa-Gatineau
1621,2017, Ontario/Quebec ,Ottawa-Gatineau
1622,2018, Ontario/Quebec ,Ottawa-Gatineau
1623,2019, Ontario/Quebec ,Ottawa-Gatineau
1624,2020, Ontario/Quebec ,Ottawa-Gatineau
1625,2021, Ontario/Quebec ,Ottawa-Gatineau
1626,2022, Ontario/Quebec ,Ottawa-Gatineau
1627,2023, Ontario/Quebec ,Ottawa-Gatineau
1639,2013, Ontario/Quebec ,Ottawa-Gatineau
1640,2014, Ontario/Quebec ,Ottawa-Gatineau
1641,2015, Ontario/Quebec ,Ottawa-Gatineau
1642,2016, Ontario/Quebec ,Ottawa-Gatineau
1643,2017, Ontario/Quebec ,Ottawa-Gatineau
1644,2018, Ontario/Quebec ,Ottawa-Gatineau
1645,2019, Ontario/Quebec ,Ottawa-Gatineau
1646,2020, Ontario/Quebec ,Ottawa-Gatineau
1647,2021, Ontario/Quebec ,Ottawa-Gatineau
1648,2022, Ontario/Quebec ,Ottawa-Gatineau
1649,2023, Ontario/Quebec ,Ottawa-Gatineau
1661,2013, Ontario/Quebec ,Ottawa-Gatineau
1662,2014, Ontario/Quebec ,Ottawa-Gatineau
