,Year,Province,Cities,City_ID,Violation,Violation_ID,Statistics,Crime_rate
719,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",3.23
720,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
721,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
722,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",2.0
723,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.95
724,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.93
725,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",2.71
737,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
738,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
739,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
740,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
741,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
742,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
743,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
744,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
745,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
746,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
747,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
946,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.47
947,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.38
948,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.37
949,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.41
950,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.6
951,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.71
952,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",0.98
953,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",0.89
954,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.9
955,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.74
956,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.57
1045,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.61
1046,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",0.8
1047,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.5
1048,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.03
1049,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.34
1050,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.72
1051,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",0.8
1052,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.02
1053,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.81
1054,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.55
1055,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.51
1067,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.75
1068,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",0.87
1069,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.53
1070,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.11
1071,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.45
1072,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.78
1073,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",0.87
1074,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",0.6
1075,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.88
1076,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.61
1077,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, adult charged per 100,000 population aged 18 years and over",1.48
1089,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
1090,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
1091,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",1.13
1092,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
1093,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
1094,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",1.06
1095,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
1096,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",6.01
1097,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.95
1098,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.93
1099,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth charged per 100,000 population aged 12 to 17 years",1.81
1111,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1112,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1113,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1114,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1115,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1116,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1117,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1118,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1119,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1120,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1121,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1133,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",
1134,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",
1135,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",
1136,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",
1137,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",
1138,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",2.06
1139,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",1.53
1140,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",0.82
1141,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",0.52
1142,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",0.71
1143,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate per 100,000 population",1.0
1232,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",
1233,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",
1234,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",
1235,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",
1236,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",
1237,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",1.48
1238,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",0.48
1239,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",0.24
1240,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",0.3
1241,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",0.37
1242,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, total persons charged per 100,000 population aged 12 years and over",0.43
1254,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",
1255,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",
1256,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",
1257,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",
1258,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",
1259,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",1.42
1260,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",0.35
1261,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",0.26
1262,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",0.33
1263,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",0.32
1264,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, adult charged per 100,000 population aged 18 years and over",0.39
1276,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",
1277,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",
1278,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",
1279,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",
1280,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",
1281,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",2.12
1282,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",2.06
1283,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
1284,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
1285,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.93
1286,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.9
1298,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth not charged per 100,000 population aged 12 to 17 years",
1299,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth not charged per 100,000 population aged 12 to 17 years",
1300,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth not charged per 100,000 population aged 12 to 17 years",
1301,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth not charged per 100,000 population aged 12 to 17 years",
1302,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth not charged per 100,000 population aged 12 to 17 years",
1303,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1304,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1305,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1306,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1307,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1308,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual offence which occurred prior to January 4, 1983 ",1300,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0
1320,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate per 100,000 population",0.46
1321,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate per 100,000 population",0.31
1322,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate per 100,000 population",0.3
1323,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate per 100,000 population",0.22
1324,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate per 100,000 population",0.65
1325,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate per 100,000 population",0.36
1326,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate per 100,000 population",0.56
1327,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate per 100,000 population",0.55
1328,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate per 100,000 population",0.39
1329,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate per 100,000 population",0.52
1330,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate per 100,000 population",0.5
1419,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate, total persons charged per 100,000 population aged 12 years and over",0.09
1420,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate, total persons charged per 100,000 population aged 12 years and over",0.27
1421,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate, total persons charged per 100,000 population aged 12 years and over",0.18
1422,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,"Sexual assault, level 3, aggravated ",1310,"Rate, total persons charged per 100,000 population aged 12 years and over",0.17
